Symbol,Model,RMSE,MAE,QLIKE,UnderPred_Rate,Count
.FCHI,GJR,0.0055219572450649484,0.004165576079929368,0.3519669202348046,18.3786078098472,4712.0
.FCHI,HAR,0.004215773776920392,0.002987603035030764,0.2770916602845953,32.81449893390192,4690.0
.FTMIB,EGARCH,0.00649642199482126,0.005572123519648623,0.42943414847993633,7.718993928881179,2306.0
.FTMIB,GARCH,0.006713119518131046,0.005637265337696049,0.43124885940487945,8.196010407632263,2306.0
.FTMIB,GJR,0.0066871196523830305,0.00548907995590612,0.40631982304373215,7.285342584562011,2306.0
.FTMIB,HAR,0.003581071811265559,0.0024846129390996125,0.20187988756209915,36.51488616462347,2284.0
.FTSE,EGARCH,0.0043508946392096706,0.0028528648857335075,0.26952246941295593,30.435715818845242,4659.0
.FTSE,GARCH,0.004380219703534768,0.0028604478406494267,0.2660072712740168,30.75767332045503,4659.0
.FTSE,GJR,0.004106943705759501,0.002690648075914179,0.25140364881117794,31.981111826572228,4659.0
.FTSE,HAR,0.00422946809994288,0.0027155640535845476,0.26801946725938736,30.55855078714686,4637.0
.GDAXI,EGARCH,0.005136407178264771,0.0039067572706537115,0.30657475957488617,19.18567469622682,4691.0
.GDAXI,GARCH,0.0052474898449741975,0.003919528432529419,0.3035896384468194,19.249626945214242,4691.0
.GDAXI,GJR,0.005032795060257456,0.0037507525816164824,0.2804262474903836,20.379450010658708,4691.0
.GDAXI,HAR,0.004310310279542846,0.0029256608867179847,0.22890682079758873,31.162989933604628,4669.0
.GSPTSE,EGARCH,0.0042574381668875555,0.0030878006794144344,0.4043149268454297,20.48490846115784,4042.0
.GSPTSE,GARCH,0.004285008452364363,0.003073990879692825,0.3966566032813064,20.385947550717468,4042.0
.GSPTSE,GJR,0.004116869383789155,0.0029630287260455036,0.38175144753831086,20.509648688767935,4042.0
.GSPTSE,HAR,0.004071382879638371,0.002852637987317413,0.3971716930506036,23.383084577114428,4020.0
.HSI,EGARCH,0.006362835455867554,0.005212140006065262,0.48303545333070985,7.6804237475171035,4531.0
.HSI,GARCH,0.006619209940711006,0.005274256431042221,0.4825135904025029,7.812844846612227,4531.0
.HSI,GJR,0.006454321031715274,0.005158591759504019,0.475835755933674,8.298388876627676,4531.0
.HSI,HAR,0.0036617828643218477,0.002518891036102431,0.2628265681680025,33.48857839875804,4509.0
.IBEX,EGARCH,0.0054671332167550695,0.0041749970297374735,0.32885331146254143,17.64957264957265,4680.0
.IBEX,GARCH,0.005704157350319222,0.004250458453152189,0.32915349635280283,17.97008547008547,4680.0
.IBEX,GJR,0.005594994123607161,0.004097603898931057,0.3104298730753571,18.974358974358974,4680.0
.IBEX,HAR,0.004199561187650465,0.002948136114400438,0.24138684721546577,33.447831687419495,4658.0
.IXIC,EGARCH,0.006217343282338988,0.004691350281610144,0.3894536136980491,13.308886971527178,4636.0
.IXIC,GARCH,0.0063119707361366005,0.004682541866703938,0.38360654224148977,13.805004314063849,4636.0
.IXIC,GJR,0.0060097108048277155,0.004470747667864104,0.3618033251855561,13.610871440897327,4636.0
.IXIC,HAR,0.004438798455428356,0.0026903157765526663,0.24228293667994769,40.78890333766797,4614.0
.KS11,EGARCH,0.006366695740798227,0.0050322213041565575,0.45790630999530285,10.705649593317212,4549.0
.KS11,GARCH,0.0066009252136188905,0.0050891320156878405,0.45850234818018526,10.661683886568477,4549.0
.KS11,GJR,0.006684713958296943,0.005069660542566571,0.4538275335771101,11.123323807430205,4549.0
.KS11,HAR,0.0038139986313231082,0.00270475321381725,0.2713718407253076,31.632427656284516,4527.0
.KSE,EGARCH,0.005994759453635558,0.0047631004881596075,0.49630899787795707,16.53683507678611,4493.0
.KSE,GARCH,0.006166269764562258,0.004796747525811557,0.49683982941131327,16.759403516581347,4493.0
.KSE,GJR,0.006184433309900054,0.004778131646585514,0.49433160006060184,16.447807700868015,4493.0
.KSE,HAR,0.004562642509495599,0.0031649320710727684,0.4005632457185409,36.52426750167748,4471.0
.MXX,EGARCH,0.005212241681070951,0.003958210384150294,0.3808755869057271,19.185169217503773,4639.0
.MXX,GARCH,0.005320876526042124,0.003989410658145129,0.3784990754944857,19.271394697133005,4639.0
.MXX,GJR,0.005158533391287626,0.003861633882558926,0.3629379232067516,19.465402026298772,4639.0
.MXX,HAR,0.004426994568880478,0.0028312468692143996,0.3910584828814407,46.28546675330301,4617.0
.N225,EGARCH,0.007168980485068259,0.005956225239546087,0.6093229766276436,8.88888888888889,4500.0
.N225,GARCH,0.007400873055618903,0.006027489933227642,0.6096779728100895,8.755555555555555,4500.0
.N225,GJR,0.0073549263206957646,0.005941412023746292,0.5962798563806553,8.288888888888888,4500.0
.N225,HAR,0.0046292449488079595,0.003011505244446273,0.3667380321428785,31.86690486824475,4478.0
.NSEI,EGARCH,0.0068812038591735195,0.005219034139360973,0.5222997634730364,10.774263904034896,4585.0
.NSEI,GARCH,0.007131024974373987,0.005294354807975397,0.5212382522490148,11.319520174482006,4585.0
.NSEI,GJR,0.0071291801382612,0.005247048846566481,0.5167501717528145,11.53762268266085,4585.0
.NSEI,HAR,0.004559829727146499,0.0032089765516696836,0.33325375279932473,21.192198115275037,4563.0
.OMXC20,EGARCH,0.005378190968496996,0.004110816255802133,0.409749801575333,16.708780795957043,3166.0
.OMXC20,GARCH,0.005355805646618751,0.004093973569443836,0.4073714370487654,16.51926721415035,3166.0
.OMXC20,GJR,0.005259494241311804,0.004006793937486564,0.3933612586091356,17.277321541377134,3166.0
.OMXC20,HAR,0.004914329829000094,0.0032285681258264294,0.3434242487353934,26.8765903307888,3144.0
.OMXHPI,EGARCH,0.005873171692693388,0.004617406510916402,0.47108457774032464,17.240300375469335,3196.0
.OMXHPI,GARCH,0.005918698075824908,0.004618757636691231,0.4646655025829055,17.42803504380476,3196.0
.OMXHPI,GJR,0.005739720281451796,0.004446906962265667,0.44601667830156716,17.678347934918648,3196.0
.OMXHPI,HAR,0.005287587869549,0.0035770613779597398,0.4177948605603881,31.88405797101449,3174.0
.OMXSPI,EGARCH,0.0059393169816148615,0.004435543602372557,0.4901677068883725,17.02660406885759,3195.0
.OMXSPI,GARCH,0.006076197725596604,0.004450604420910522,0.48872024265826036,16.49452269170579,3195.0
.OMXSPI,GJR,0.005880700907721125,0.0042791442664529685,0.4553316486492834,16.8075117370892,3195.0
.OMXSPI,HAR,0.004950297951190831,0.0030925277885100466,0.40557300041046684,35.42388906397731,3173.0
.OSEAX,EGARCH,0.005297289376038631,0.004057198008603883,0.36606687760757584,17.227392030541637,4191.0
.OSEAX,GARCH,0.005396105729473354,0.004059219538648595,0.36220657676998846,17.155810069195894,4191.0
.OSEAX,GJR,0.005307120016140123,0.003960602234847343,0.3478125852581773,17.275113338105463,4191.0
.OSEAX,HAR,0.004391534984290408,0.0029727621349849758,0.29401588805889217,31.56632285919885,4169.0
.RUT,EGARCH,0.006722355921186621,0.005497228810797453,0.5374910397903371,9.902912621359224,4635.0
.RUT,GARCH,0.006745673152375582,0.005442467606257047,0.5274012885565006,9.859762675296656,4635.0
.RUT,GJR,0.006524964383705143,0.005254785960395399,0.5015212986068305,9.234088457389428,4635.0
.RUT,HAR,0.004182070753293547,0.002663855670532518,0.4248092686487632,57.337957944938225,4613.0
.SMSI,EGARCH,0.006173456345231788,0.004661883267944187,0.4333687598410199,18.000604047115676,3311.0
.SMSI,GARCH,0.006438196371335646,0.004763186805430239,0.4335644266542985,18.514044095439445,3311.0
.SMSI,GJR,0.006349110443954411,0.0046169202046959035,0.41028764407038354,17.909996979764422,3311.0
.SMSI,HAR,0.004862274887453287,0.0034083505424719464,0.3403238208919589,32.927941623593796,3289.0
.SPX,EGARCH,0.004609173537138412,0.003471232052503168,0.37927736663357775,19.95689655172414,4640.0
.SPX,GARCH,0.004690906479980408,0.003474435513183665,0.3767146785335069,20.732758620689655,4640.0
